,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
23,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600855,2017-02-23T00:00:00,DEN @ SAC,L,25.516666666666666,2,7,0.286,0,2,0.0,0,0,0.0,2,9,11,2,1,0,0,1,3,0,4,5,19.2,0,0,17.0,1,38,38,38,46,68,57,69,34,26,34,56,57,56,38,19,27,58,48,40,36,39,29,67,70,36,63,40,7,63,1,25:31
24,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600842,2017-02-15T00:00:00,DEN vs. MIN,L,33.95166666666667,6,19,0.316,2,5,0.4,1,2,0.5,4,10,14,4,2,1,3,0,5,4,15,1,47.8,1,0,43.0,1,38,38,38,18,39,6,68,2,2,26,45,37,48,14,14,10,36,31,14,2,1,62,19,42,46,22,1,7,24,1,33:57
25,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600827,2017-02-13T00:00:00,DEN vs. GSW,W,36.0,7,13,0.538,0,0,0.0,3,4,0.75,6,15,21,12,6,2,0,2,3,4,17,33,60.2,1,1,54.0,1,1,1,1,8,30,28,47,34,54,34,24,22,35,8,2,1,1,3,6,36,62,29,19,34,1,8,1,1,7,1,36:00
26,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600811,2017-02-11T00:00:00,DEN @ CLE,L,37.65,9,18,0.5,1,2,0.5,8,10,0.8,6,7,13,4,5,0,2,0,2,5,27,-10,49.6,1,0,49.0,1,38,38,38,4,14,8,50,12,26,13,2,2,29,8,31,17,36,4,40,6,1,13,10,9,65,19,1,7,16,1,37:39
27,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600800,2017-02-10T00:00:00,DEN @ NYK,W,36.68333333333333,17,23,0.739,2,3,0.667,4,5,0.8,4,5,9,5,2,2,0,1,2,5,40,19,62.3,0,0,60.0,1,1,1,1,6,1,1,13,2,10,7,16,14,29,14,44,42,25,31,6,36,39,13,10,1,8,4,40,7,2,1,36:41
28,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600785,2017-02-08T00:00:00,DEN @ ATL,L,34.266666666666666,8,17,0.471,2,3,0.667,0,0,0.0,9,6,15,3,0,0,0,0,4,3,18,-12,40.5,1,0,38.0,1,38,38,38,16,20,11,59,2,10,7,56,57,56,1,37,8,50,67,40,36,1,51,30,30,66,33,1,7,31,1,34:16
29,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600776,2017-02-06T00:00:00,DEN vs. DAL,W,24.4,5,9,0.556,0,1,0.0,3,3,1.0,1,3,4,9,2,1,0,1,5,3,13,18,32.3,0,0,28.0,1,1,1,1,48,47,49,42,34,46,34,24,31,1,54,63,66,8,31,14,36,39,62,30,45,10,47,40,7,48,1,24:24
30,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600762,2017-02-04T00:00:00,DEN @ SAS,L,15.4,5,9,0.556,1,2,0.5,0,0,0.0,1,0,1,2,5,0,0,1,3,0,11,-14,10.2,0,0,15.0,1,38,38,38,71,47,49,42,12,26,13,56,57,56,54,73,73,58,4,40,36,39,29,67,53,67,73,40,7,68,1,15:24
31,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600752,2017-02-03T00:00:00,DEN vs. MIL,W,32.321666666666665,8,15,0.533,2,4,0.5,2,2,1.0,6,6,12,11,2,1,0,3,0,2,20,8,51.9,1,1,47.0,1,1,1,1,26,20,19,48,2,7,13,33,37,1,8,37,22,2,31,14,36,71,1,42,24,26,16,1,1,18,2,32:19
32,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600692,2017-01-26T00:00:00,DEN vs. PHX,W,35.77166666666667,12,21,0.571,0,2,0.0,5,6,0.833,8,6,14,8,3,1,2,0,2,7,29,21,63.8,1,0,57.0,1,1,1,1,11,6,4,39,34,26,34,9,8,28,2,37,10,11,17,14,6,1,13,4,6,4,3,1,7,3,1,35:46
33,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600678,2017-01-24T00:00:00,DEN vs. UTA,W,35.2,9,15,0.6,0,4,0.0,5,5,1.0,0,11,11,6,4,2,3,1,3,8,23,3,56.2,1,0,50.0,1,1,1,1,12,14,19,32,34,7,34,9,14,1,69,8,27,20,8,6,2,39,29,2,15,41,10,1,7,14,1,35:12
34,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600664,2017-01-22T00:00:00,DEN @ MIN,L,27.19,8,15,0.533,0,3,0.0,2,2,1.0,5,4,9,4,4,2,2,2,5,6,18,-7,42.8,0,0,39.0,1,38,38,38,41,20,19,48,34,10,34,33,37,1,12,54,42,36,8,6,6,62,62,9,30,58,31,40,7,29,1,27:11
35,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600658,2017-01-21T00:00:00,DEN vs. LAC,W,21.316666666666666,8,11,0.727,2,3,0.667,1,1,1.0,3,7,10,3,3,0,0,0,3,5,19,20,32.5,1,0,34.0,1,1,1,1,57,20,36,14,2,10,7,45,52,1,20,31,35,50,17,40,36,1,29,10,26,6,45,1,7,39,1,21:19
36,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600639,2017-01-19T00:00:00,DEN @ SAS,L,37.575,14,22,0.636,2,4,0.5,5,5,1.0,4,8,12,4,3,0,2,0,2,7,35,-17,58.4,1,0,57.0,1,38,38,38,5,2,2,25,2,7,13,9,14,1,14,23,22,36,17,40,6,1,13,4,2,69,9,1,7,3,1,37:35
37,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600626,2017-01-17T00:00:00,DEN @ LAL,W,33.721666666666664,12,22,0.545,1,5,0.2,4,6,0.667,7,8,15,1,2,0,3,2,3,5,29,21,55.5,1,0,52.0,1,1,1,1,20,6,2,45,12,2,30,16,8,41,4,23,8,68,31,40,2,62,29,10,6,4,12,1,7,10,1,33:43
